name,nat_abbr,wmo_ind,chx,chy,lon,lat,height,climate.region,climate.region.nr,first.year.daily.obs,last.year.daily.obs,nr.years.daily.obs.in.standard.per,nr.na.years.daily.obs.in.standard.per,first.year.hourly.obs,last.year.hourly.obs,nr.years.hourly.obs,nr.na.years.hourly.obs,has.hourly.data
Giswil,GIH,6657,2657322.9,1188976.05,8.190225,46.84945,471,Central Alpine north slope,7,1978,2020,43,0,2010,2020,10,1,FALSE
Grüningen,GIN,NA,2698752.86,1236665.81,8.74375278,47.2735,535,North-eastern plateau,3,1961,2020,59,1,NA,NA,NA,NA,FALSE
Glarus,GLA,6685,2723756.57,1210567.29,9.06696111,47.0345861,516.62,Eastern Alpine north slope,6,1961,2020,60,0,1982,2021,40,0,TRUE
Göscheneralp,GOA,NA,2681253.45,1166803.68,8.500025,46.647525,1745,Central Alpine north slope,7,1970,2020,51,0,2014,2020,7,0,FALSE
Gösgen,GOE,6626,2640422.22,1245949.32,7.97373333,47.3631472,380.49,Central plateau,4,1989,2020,32,0,1989,2021,33,0,TRUE
Göschenen,GOS,6668,2688477.46,1171925.64,8.59536389,46.6926778,950.3,Central Alpine north slope,7,1961,2015,55,0,2016,2020,4,1,FALSE
Fribourg / Grangeneuve,GRA,6625,2575183.76,1180076.4,7.11373611,46.7714,650.6,Western plateau,5,1961,2020,58,2,2011,2020,9,1,FALSE
Grächen,GRC,6728,2630738.43,1116062,7.83682222,46.1953139,1605,Valais,10,1961,2020,60,0,2013,2020,7,1,FALSE
Grimsel Hospiz,GRH,6744,2668583.3,1158214.72,8.33325556,46.5716889,1980,Western Alpine North- slope,8,1961,2020,60,0,1990,2021,32,0,TRUE
Grimentz,GRI,NA,2610767.53,1114288.69,7.57808056,46.1799778,1512,Valais,10,1961,2020,60,0,NA,NA,NA,NA,FALSE
Grono,GRO,6758,2733017.56,1124089.4,9.16375833,46.255075,323.52,Alpine south side,12,1961,2020,60,0,2013,2020,8,0,FALSE
Gryon,GRY,NA,2571519.59,1125125.27,7.06915,46.2769417,1146,Western Alpine North- slope,8,1961,2020,60,0,NA,NA,NA,NA,FALSE
Col du Grand St-Bernard,GSB,6717,2579191.13,1079754.16,7.17068333,45.8690917,2472,Alpine south side,12,1961,2020,59,1,1982,2021,38,2,TRUE
"Gsteig, Gstaad",GSG,NA,2587686,1136142,7.27859167,46.3765333,1196,Western Alpine North- slope,8,1961,2020,60,0,2014,2020,6,1,FALSE
"Gross, SZ",GSS,NA,2701799.74,1218840.84,8.77998611,47.1127306,897,Central Alpine north slope,7,1974,2020,47,0,NA,NA,NA,NA,FALSE
Guttannen,GTT,NA,2665296.52,1167600.66,8.29171667,46.6564444,1055,Western Alpine North- slope,8,1961,2020,60,0,2014,2020,6,1,FALSE
"Gütsch, Andermatt",GUE,6750,2690087,1167480,8.61553056,46.652475,2286,Central Alpine north slope,7,1961,2020,60,0,1982,2021,38,2,TRUE
Guglera,GUG,NA,2585039.83,1177635.06,7.24285278,46.7497333,877,Western Alpine North- slope,8,1961,2020,59,1,NA,NA,NA,NA,FALSE
Güttingen,GUT,6621,2738422.63,1273962.16,9.27942778,47.6017333,440.02,North-eastern plateau,3,1978,2020,43,0,1982,2021,40,0,TRUE
Genève / Cointrin,GVE,6700,2498904.44,1122631.74,6.12774167,46.2475194,410.88,Western plateau,5,1961,2020,60,0,1982,2021,40,0,TRUE
Grindelwald,GWA,NA,2643511.3,1163246.8,8.0067,46.6190556,1107,Western Alpine North- slope,8,1962,2020,58,1,NA,NA,NA,NA,FALSE
Salen-Reutenen,HAI,6623,2719100.41,1279046.64,9.02391111,47.6512417,718.7,North-eastern plateau,3,1961,2020,60,0,2010,2020,10,1,FALSE
Hausen am Albis,HAU,NA,2682060.83,1232659.88,8.52245,47.2397583,590,Central plateau,4,1977,2020,44,0,NA,NA,NA,NA,FALSE
Herzogenbuchsee,HEB,NA,2620889.42,1226910.22,7.71428333,47.1928083,482,Central plateau,4,1961,2020,60,0,NA,NA,NA,NA,FALSE
Hessigkofen,HEK,NA,2602350.31,1221220.35,7.46962222,47.1419556,580,Central plateau,4,1978,2020,43,0,NA,NA,NA,NA,FALSE
Hérémence,HER,NA,2597355.39,1114091.86,7.40438889,46.1782889,1218,Valais,10,1961,2020,58,2,NA,NA,NA,NA,FALSE
Herisau,HES,NA,2737730.71,1250829.69,9.26308056,47.3938833,700,North-eastern plateau,3,1961,2020,60,0,NA,NA,NA,NA,FALSE
Hinwil,HIW,NA,2706160.5,1240132.8,8.84245278,47.3035306,577,North-eastern plateau,3,1962,2020,59,0,NA,NA,NA,NA,FALSE
Hallau,HLL,6624,2677456.5,1283471.8,8.47046389,47.6972778,419,North-eastern plateau,3,1961,2020,60,0,2012,2020,9,0,FALSE
Hondrich,HON,NA,2618524.97,1169129.74,7.68073056,46.6731333,760,Western Alpine North- slope,8,1962,2020,59,0,NA,NA,NA,NA,FALSE
Hoch-Ybrig,HOY,NA,2702760.69,1207629.81,8.79010278,47.0117528,1458,Central Alpine north slope,7,1974,2020,47,0,NA,NA,NA,NA,FALSE
Herbetswil,HTW,NA,2611291,1238440,7.58791667,47.2967472,544,Western Jura,2,1961,2020,60,0,NA,NA,NA,NA,FALSE
Huttwil,HUT,NA,2630261.45,1218189.13,7.83736389,47.1140028,633,Central plateau,4,1973,2020,48,0,2014,2020,7,0,FALSE
Ilanz,ILZ,6789,2735686.16,1181965.43,9.21535278,46.7750389,698,Northern and central Grisons,9,1961,2020,60,0,2014,2020,6,1,FALSE
Innerthal,INN,NA,2712079.74,1218325.83,8.91528333,47.1064389,903,Eastern Alpine north slope,6,1962,2020,59,0,2014,2020,6,1,FALSE
Interlaken,INT,6734,2633023.19,1169091.9,7.87019444,46.6722333,577.34,Western Alpine North- slope,8,1961,2020,60,0,1982,2021,40,0,TRUE
Isenthal,IST,NA,2685460.64,1196109.67,8.56044722,46.9105917,778,Central Alpine north slope,7,1961,2020,60,0,NA,NA,NA,NA,FALSE
Jaun,JAU,NA,2587532.75,1162270.01,7.27589444,46.6115694,1029,Western Alpine North- slope,8,1961,2020,60,0,NA,NA,NA,NA,FALSE
Jussy,JUS,NA,2508909.48,1120364.14,6.25789722,46.2285528,466,Western plateau,5,1961,2020,60,0,NA,NA,NA,NA,FALSE
"Kaiserstuhl, AG",KAI,NA,2673335.12,1269332.98,8.41323056,47.5706028,361,North-eastern plateau,3,1961,2020,59,1,2019,2020,1,1,FALSE
Küssnacht am Rigi,KAR,NA,2675328.77,1216759.84,8.43089167,47.0975528,502,Central Alpine north slope,7,1962,2020,59,0,NA,NA,NA,NA,FALSE
Kandersteg,KAS,NA,2618312.8,1149197.81,7.67716667,46.4938417,1178,Western Alpine North- slope,8,1961,2020,60,0,2016,2020,5,0,FALSE
"Kirchberg, SG",KIB,NA,2717906.6,1253595.4,9.00128333,47.4226,742,North-eastern plateau,3,1976,2020,45,0,NA,NA,NA,NA,FALSE
Klosters,KLA,NA,2786857.94,1193365.92,9.88970278,46.8651528,1186,Northern and central Grisons,9,1961,2013,53,0,2014,2020,7,0,FALSE
Zürich / Kloten,KLO,6670,2682711.05,1259338.64,8.53596111,47.4796111,426.26,North-eastern plateau,3,1961,2020,60,0,1982,2021,40,0,TRUE
Klöntal,KLT,NA,2718775.72,1210699.75,9.00147778,47.0366889,855,Eastern Alpine north slope,6,1961,2020,60,0,NA,NA,NA,NA,FALSE
Koppigen,KOP,6635,2612663.29,1218664.69,7.60550278,47.11885,485.2,Central plateau,4,1962,2020,59,0,2012,2020,9,0,FALSE
Kronberg,KRO,NA,2742873.66,1239564.69,9.32758889,47.2914944,1645,Eastern Alpine north slope,6,1974,2020,47,0,NA,NA,NA,NA,FALSE
Kleine Scheidegg,KSE,6736,2639925.11,1159424.74,7.95955,46.5848972,2061,Western Alpine North- slope,8,1962,2020,59,0,NA,NA,NA,NA,FALSE
Kurzeneialp,KUA,NA,2630575.42,1207010.04,7.84074722,47.0134333,894,Central plateau,4,1962,2020,59,0,NA,NA,NA,NA,FALSE
"Küsnacht, ZH",KUE,NA,2686705.85,1240572.83,8.58531667,47.3103306,412,North-eastern plateau,3,1961,2020,60,0,NA,NA,NA,NA,FALSE
Langenbruck,LAB,NA,2624250.5,1244720.27,7.75959444,47.3528861,731,Western Jura,2,1961,2020,59,1,2013,2020,8,0,FALSE
Lachen / Galgenen,LAC,6665,2707638.08,1226334.18,8.85868611,47.1791972,468,North-eastern plateau,3,1961,2020,60,0,2016,2020,5,0,FALSE
Langnau i.E.,LAG,6638,2628004.1,1198793.1,7.806425,46.9396333,743.8,Central Alpine north slope,7,1961,2020,60,0,2011,2020,9,1,FALSE
Landquart,LAN,NA,2762680.78,1203709.85,9.57642778,46.9645194,537,Northern and central Grisons,9,1961,2020,59,1,NA,NA,NA,NA,FALSE
Laupen,LAP,NA,2584946.03,1196242.16,7.24101111,46.9171083,483,Central plateau,4,1973,2020,48,0,NA,NA,NA,NA,FALSE
Bergün / Latsch,LAT,6642,2777274.07,1166618.33,9.75370556,46.627275,1407.85,Northern and central Grisons,9,1974,2020,46,1,2015,2020,5,1,FALSE
Lenzerheide,LEH,NA,2761860.84,1175889.71,9.55579167,46.7145583,1400,Northern and central Grisons,9,1962,2020,59,0,NA,NA,NA,NA,FALSE
Leibstadt,LEI,6666,2656374.5,1272121.86,8.1882,47.5973611,341.08,Eastern Jura,1,1989,2020,32,0,1989,2021,33,0,TRUE
Leukerbad,LEU,NA,2614082.63,1135090.04,7.62163889,46.3670361,1286,Valais,10,1961,2020,60,0,2013,2020,7,1,FALSE
Laufenburg,LFB,NA,2646357.8,1266514.29,8.05443889,47.5477139,329,Eastern Jura,1,1961,2020,60,0,NA,NA,NA,NA,FALSE
Langnau am Albis,LGA,NA,2682205.85,1237809.85,8.52530833,47.2860583,579,North-eastern plateau,3,1973,2020,48,0,NA,NA,NA,NA,FALSE
Pleigne,LOB,NA,2587683.47,1251978.54,7.27542778,47.4185,738,Eastern Jura,1,1961,2020,59,1,NA,NA,NA,NA,FALSE
Le Locle,LOC,NA,2546612.57,1212177.51,6.73592222,47.0584694,1015,Western Jura,2,1961,2020,60,0,NA,NA,NA,NA,FALSE
"Lohn, SH",LOH,NA,2692911.18,1289774.66,8.67763611,47.7519444,585,North-eastern plateau,3,1961,2020,60,0,2013,2020,8,0,FALSE
Longirod,LON,NA,2509386.5,1150106.64,6.25828056,46.4961389,900,Western plateau,5,1961,2020,59,1,2014,2020,6,1,FALSE
Lorzentobel,LOT,NA,2684590.81,1226109.84,8.55463056,47.1805306,536,Central plateau,4,1962,2020,59,0,NA,NA,NA,NA,FALSE
Lausanne,LSN,NA,2538975.6,1153256.42,6.64326667,46.5278194,601,Western plateau,5,1961,2020,60,0,2013,2020,7,1,FALSE
Lauterbrunnen,LTB,NA,2635851.14,1160290.62,7.90646389,46.5929167,815,Western Alpine North- slope,8,1961,2020,60,0,2015,2020,5,1,FALSE
Lugano,LUG,6770,2717874.08,1095882.99,8.96032222,46.0042167,273,Alpine south side,12,1961,2020,60,0,1982,2021,40,0,TRUE
Lungern,LUN,NA,2655275.51,1181799.78,8.16251389,46.7850722,740,Central Alpine north slope,7,1962,2020,59,0,NA,NA,NA,NA,FALSE
Luthern,LUT,NA,2636465.49,1212020.04,7.91861111,47.0582,767,Central plateau,4,1961,2020,60,0,NA,NA,NA,NA,FALSE
Luzern,LUZ,6650,2665544.62,1209849.55,8.30102222,47.0364389,454.32,Central plateau,4,1961,2020,60,0,1982,2021,40,0,TRUE
Martigny,MAB,NA,2570919.25,1106546.23,7.06251667,46.1097889,461,Valais,10,1961,2020,40,20,2016,2020,4,1,FALSE
Morges,MAC,NA,2528808.54,1152121.59,6.51093889,46.5166083,374,Western plateau,5,1962,2020,59,0,NA,NA,NA,NA,FALSE
Madiswil,MAD,NA,2629396.6,1223378.4,7.82630556,47.1607167,663,Central plateau,4,1973,2020,48,0,NA,NA,NA,NA,FALSE
Magadino / Cadenazzo,MAG,6762,2715479.98,1113160.82,8.93367222,46.160025,203.2,Alpine south side,12,1961,2020,60,0,1982,2021,40,0,TRUE
Mathod,MAH,6618,2533457.71,1176567.6,6.56798333,46.7369778,435.28,Western plateau,5,1992,2020,27,2,1993,2021,28,1,TRUE
Malbun,MAL,NA,2764702.7,1219184.4,9.60860833,47.1031611,1610,Eastern Alpine north slope,6,1976,2020,45,0,2016,2020,4,1,FALSE
Les Marécottes,MAR,6614,2567374.27,1107577.3,7.01659722,46.1189028,990,Valais,10,1962,2020,59,0,2015,2020,5,1,FALSE
Marsens,MAS,6640,2571757.9,1167316.87,7.06966944,46.6564861,714.5,Western Alpine North- slope,8,1961,2020,60,0,2014,2020,6,1,FALSE
Martina,MAT,NA,2830465.03,1196986.24,10.4630306,46.8840111,1041,Engadine,11,1961,2020,60,0,2013,2020,7,1,FALSE
"Marbach, LU",MBA,NA,2635347.42,1189679.99,7.90215833,46.8573111,864,Central Alpine north slope,7,1961,2020,60,0,NA,NA,NA,NA,FALSE
Moudon,MDO,NA,2551368.74,1169636.43,6.80305833,46.6761778,563,Western plateau,5,1961,2020,59,1,NA,NA,NA,NA,FALSE
Meiringen,MER,6637,2655844.42,1175929.73,8.16924722,46.7322222,588.6,Western Alpine North- slope,8,1961,2020,60,0,2011,2020,9,1,FALSE
Mesocco,MES,NA,2737851.72,1139822.38,9.23109167,46.3955917,825,Alpine south side,12,1961,2020,60,0,NA,NA,NA,NA,FALSE
Mervelier,MEV,NA,2603884.44,1243975.35,7.49004167,47.3466194,540,Western Jura,2,1961,2020,59,1,2014,2020,6,1,FALSE
Mogelsberg,MGB,NA,2728219.71,1247006.68,9.13603889,47.361425,766,North-eastern plateau,3,1974,2020,47,0,NA,NA,NA,NA,FALSE
Morgins,MGI,NA,2554719.43,1120680.33,6.85163333,46.2360361,1340,Western Alpine North- slope,8,1976,2020,45,0,NA,NA,NA,NA,FALSE
Magglingen,MGL,NA,2583037.18,1221115.52,7.21502222,47.1408,883,Western Jura,2,1967,2020,54,0,2013,2020,8,0,FALSE
Le Moléson,MLS,6609,2567718.29,1155076.76,7.01775278,46.5461972,1974.34,Western Alpine North- slope,8,1982,2020,38,1,1983,2021,39,0,TRUE
Mormont,MMO,NA,2569727.24,1254223.54,7.03733333,47.4381111,535,Eastern Jura,1,1961,2020,60,0,2015,2020,5,1,FALSE
Mosen,MOA,6644,2660128.6,1232852.1,8.23283056,47.2438472,453.04,Central plateau,4,1961,2020,60,0,2013,2020,8,0,FALSE
"Montagnier, Bagnes",MOB,6615,2583491.37,1102189.07,7.22527222,46.0710194,839,Valais,10,1961,2020,59,1,2017,2020,3,1,FALSE
Möhlin,MOE,6641,2633053.72,1269147.42,7.87791111,47.5721972,343,Eastern Jura,1,1961,2020,60,0,2010,2020,10,1,FALSE
Morbio Superiore,MOS,NA,2723520.18,1080124.47,9.02906667,45.8614861,594,Alpine south side,12,1975,2020,46,0,NA,NA,NA,NA,FALSE
Moutier,MOU,NA,2594939.37,1235698.45,7.37176111,47.2721667,579,Western Jura,2,1970,2020,51,0,NA,NA,NA,NA,FALSE
Mosogno,MSG,NA,2692803,1117049.21,8.64091389,46.1985028,771,Alpine south side,12,1961,2020,60,0,2015,2020,5,1,FALSE
Monstein,MST,NA,2778426.92,1176002.81,9.7724,46.71135,1633,Northern and central Grisons,9,1974,2020,47,0,NA,NA,NA,NA,FALSE
Mottec,MTE,6716,2614324.42,1110729.94,7.62403333,46.1478972,1580,Valais,10,1974,2020,47,0,2016,2020,5,0,FALSE
Mühleberg,MUB,6636,2587792.9,1202480.05,7.27821667,46.9732778,479.785,Central plateau,4,1989,2020,32,0,1989,2021,33,0,TRUE
Mürren,MUE,NA,2634611,1156091.64,7.88996667,46.5552111,1632,Western Alpine North- slope,8,1962,2020,59,0,NA,NA,NA,NA,FALSE
"Muri, AG",MUR,NA,2667276.81,1235322.92,8.32760833,47.2653806,577,Central plateau,4,1961,2020,60,0,2013,2020,7,1,FALSE
Müstair,MUS,NA,2831186.06,1169358.05,10.4585194,46.6354194,1248,Engadine,11,1974,2020,47,0,NA,NA,NA,NA,FALSE
Murten,MUT,NA,2576991.01,1199048.16,7.13643889,46.9421194,433,Western plateau,5,1962,2020,59,0,NA,NA,NA,NA,FALSE
Montana,MVE,6724,2601708.75,1127488.92,7.46081389,46.2988056,1422.86,Valais,10,1961,2020,60,0,1982,2021,40,0,TRUE
Napf,NAP,6639,2638137.45,1206079.01,7.94011667,47.0046667,1403.98,Central Alpine north slope,7,1979,2020,42,0,1982,2021,40,0,TRUE
Nesselboden,NEB,NA,2605295.31,1232697.36,7.50858056,47.2451694,1055,Western Jura,2,1974,2020,42,5,2014,2020,6,1,FALSE
Neuchâtel,NEU,6604,2563086.69,1205559.99,6.95329722,47.0000667,485,Western plateau,5,1961,2020,60,0,1982,2021,40,0,TRUE
Niederneunforn,NIE,NA,2700861.01,1272509.72,8.7797,47.5955194,440,North-eastern plateau,3,1961,2020,60,0,NA,NA,NA,NA,FALSE
Obstalden,OBD,NA,2730891.79,1219536.74,9.16340833,47.1138778,689,Eastern Alpine north slope,6,1961,2020,60,0,NA,NA,NA,NA,FALSE
Oberiberg,OBI,NA,2701841.72,1210463.81,8.77865556,47.0373833,1075,Central Alpine north slope,7,1961,2020,60,0,2016,2020,4,1,FALSE
Ehrendingen,OED,NA,2667833,1262320,8.33904722,47.508125,428,North-eastern plateau,3,1976,2020,45,0,2014,2020,6,1,FALSE
Olivone,OLI,NA,2714903.53,1154143.58,8.93633611,46.5287194,890,Alpine south side,12,1962,2020,59,0,NA,NA,NA,NA,FALSE
Opfikon,OPF,NA,2684614.95,1254697.83,8.56033889,47.4376333,424,North-eastern plateau,3,1974,2020,47,0,2016,2020,4,1,FALSE
Orsières,ORS,NA,2577021.23,1096695.14,7.14191944,46.0214111,929,Valais,10,1969,2020,52,0,2013,2020,8,0,FALSE
Orzens,ORZ,NA,2542134.74,1174815.51,6.68173056,46.7220278,624,Western plateau,5,1974,2020,47,0,NA,NA,NA,NA,FALSE
Otelfingen,OTE,NA,2671521,1257079.97,8.38715833,47.4606111,435,North-eastern plateau,3,1962,2020,59,0,NA,NA,NA,NA,FALSE
Locarno / Monti,OTL,6760,2704166.7,1114315.88,8.78749444,46.1722556,366.98,Alpine south side,12,1961,2020,60,0,1982,2021,40,0,TRUE
Payerne / Ville,PAV,NA,2561614.83,1187040.23,6.93550556,46.8333972,447,Western plateau,5,1961,2020,60,0,NA,NA,NA,NA,FALSE
Payerne,PAY,6610,2562130.87,1184611.52,6.94246944,46.8115806,490,Western plateau,5,1966,2020,55,0,1982,2021,40,0,TRUE
Les Ponts-de-Martel,PDM,NA,2545886.63,1205407.33,6.727175,46.9975139,1052,Western Jura,2,1961,2020,60,0,NA,NA,NA,NA,FALSE
"Pfäffikon, ZH",PFA,NA,2700555.9,1246927.79,8.76987778,47.3655167,540,North-eastern plateau,3,1961,2020,60,0,NA,NA,NA,NA,FALSE
Pigniu,PIG,NA,2727950.63,1185714.6,9.11514167,46.8102861,1325,Northern and central Grisons,9,1961,2020,60,0,NA,NA,NA,NA,FALSE
Pilatus,PIL,6659,2661904.61,1203410.13,8.25225556,46.9788694,2105.44,Central Alpine north slope,7,1981,2020,40,0,1982,2021,39,1,TRUE
Piotta,PIO,6753,2695880.58,1152264.13,8.68803889,46.5148111,990,Alpine south side,12,1981,2020,40,0,1982,2021,40,0,TRUE
Plaffeien,PLF,6628,2586828.17,1177406.56,7.26626389,46.7477167,1042.49,Western Alpine North- slope,8,1989,2020,31,1,1990,2021,32,0,TRUE
Pontresina,PON,NA,2787950,1153832.3,9.887825,46.5093944,1787,Engadine,11,1973,2020,48,0,NA,NA,NA,NA,FALSE
Ponte Tresa,POT,NA,2710110.03,1091628.92,8.85912222,45.9672667,274,Alpine south side,12,1961,2020,60,0,NA,NA,NA,NA,FALSE
Würenlingen / PSI,PSI,6647,2659356.3,1265381,8.22694444,47.536475,334,North-eastern plateau,3,1992,2020,28,1,1993,2021,29,0,TRUE
Punt la Drossa,PUD,NA,2810567.02,1170637.95,10.19,46.6537472,1713,Engadine,11,1975,2020,46,0,NA,NA,NA,NA,FALSE
Pully,PUY,6711,2540819.05,1151510.61,6.66751667,46.5122833,455.61,Western plateau,5,1962,2020,59,0,1982,2021,40,0,TRUE
Bad Ragaz,RAG,6686,2756911.1,1209350.66,9.50259444,47.0166306,496.5,Northern and central Grisons,9,1961,2020,59,1,2012,2020,8,1,FALSE
Reigoldswil,REG,NA,2617700.48,1249870.36,7.67310833,47.3994139,602,Eastern Jura,1,1962,2020,59,0,NA,NA,NA,NA,FALSE
Zürich / Affoltern,REH,6664,2681433.06,1253547.99,8.51795278,47.4276944,443.53,North-eastern plateau,3,1962,2020,59,0,1982,2021,40,0,TRUE
Rempen,REM,NA,2710610.77,1221849.82,8.89679722,47.1383778,650,Eastern Alpine north slope,6,1970,2020,51,0,2016,2020,4,1,FALSE
Ricken,RIC,NA,2722680.77,1235901.76,9.05969722,47.2626167,836,North-eastern plateau,3,1961,2020,60,0,NA,NA,NA,NA,FALSE
Riex,RIX,NA,2546079.64,1149410.4,6.73630278,46.4938333,461,Western plateau,5,1962,2020,59,0,NA,NA,NA,NA,FALSE
Poschiavo / Robbia,ROB,6794,2801993.96,1136248.61,10.0630306,46.3472167,1078,Alpine south side,12,1961,2020,60,0,1982,2021,40,0,TRUE
Robièi,ROE,6751,2682587.68,1144090.99,8.51338889,46.4430667,1898,Alpine south side,12,1991,2020,30,0,1992,2021,30,0,TRUE
Romont,ROM,NA,2561475.71,1172622.2,6.93489444,46.7036944,692,Western plateau,5,1961,2020,60,0,2016,2020,4,1,FALSE
Rothenbrunnen,ROT,NA,2751220.85,1181299.6,9.41846667,46.7657056,622,Northern and central Grisons,9,1971,2020,50,0,2017,2020,4,0,FALSE
Rünenberg,RUE,6645,2633252.64,1253846.08,7.87941389,47.4345722,611.17,Eastern Jura,1,1983,2020,38,0,1983,2021,39,0,TRUE
Säntis,SAE,6680,2744188.01,1234920.31,9.34346944,47.2494472,2501.47,Eastern Alpine north slope,6,1961,2020,60,0,1982,2021,40,0,TRUE
"Sattel, SZ",SAG,6662,2691000.04,1215145.22,8.63696667,47.0810639,790.1,Central Alpine north slope,7,1961,2020,60,0,2014,2020,7,0,FALSE
Saignelégier,SAI,NA,2565349.19,1234100.69,6.98085556,47.2569056,883,Western Jura,2,1961,2020,60,0,2016,2020,4,1,FALSE
Samedan,SAM,6792,2787250.87,1155684.8,9.87946944,46.5262472,1708.51,Engadine,11,1981,2020,40,0,1982,2021,40,0,TRUE
Safien Platz,SAP,NA,2743556.77,1171436.52,9.31507778,46.6787028,1296,Northern and central Grisons,9,1961,2020,60,0,2017,2020,3,1,FALSE
Sargans,SAR,NA,2752065.8,1213348.4,9.44023056,47.0537083,585,Northern and central Grisons,9,1961,2020,60,0,NA,NA,NA,NA,FALSE
Salez / Saxerriet,SAX,NA,2755558.55,1233373.78,9.49308611,47.2329611,436,Eastern Alpine north slope,6,1962,2020,59,0,2017,2020,4,0,FALSE
S. Bernardino,SBE,6783,2734116.41,1147293.65,9.1847,46.4635417,1638.7,Alpine south side,12,1969,2020,52,0,1982,2021,40,0,TRUE
Stabio,SBO,6771,2716048.8,1077971.66,8.93236389,45.8434444,351.32,Alpine south side,12,1981,2020,39,1,1982,2021,40,0,TRUE
Schänis,SCA,NA,2719940.78,1225579.77,9.02075278,47.1702972,415,Eastern Alpine north slope,6,1962,2020,59,0,NA,NA,NA,NA,FALSE
Scudellate,SCD,NA,2724253.1,1086841.6,9.04026667,45.9217611,920,Alpine south side,12,1975,2020,45,1,NA,NA,NA,NA,FALSE
Schwarzenegg,SCE,NA,2621687.15,1183859.92,7.72275278,46.8055444,902,Western Alpine North- slope,8,1961,2020,60,0,NA,NA,NA,NA,FALSE
Schleitheim,SCH,NA,2678236.17,1288716.74,8.48177778,47.74435,497,North-eastern plateau,3,1961,2020,60,0,NA,NA,NA,NA,FALSE
Scuol,SCU,6798,2817138.9,1186393.35,10.2832667,46.793275,1303.93,Engadine,11,1961,2020,60,0,1982,2021,40,0,TRUE
Splügen,SDO,NA,2744420.82,1157434.55,9.32197222,46.5525972,1460,Northern and central Grisons,9,1961,2020,60,0,NA,NA,NA,NA,FALSE
Sedrun,SED,NA,2699974.37,1169844.6,8.74519167,46.6723361,1429,Northern and central Grisons,9,1961,2020,60,0,NA,NA,NA,NA,FALSE
Semsales,SEM,NA,2561108.61,1158427.24,6.93129444,46.5759861,874,Western plateau,5,1970,2020,51,0,NA,NA,NA,NA,FALSE
Sevelen,SEV,NA,2755605.62,1221301.77,9.48953889,47.1244028,457,Eastern Alpine north slope,6,1961,2020,60,0,NA,NA,NA,NA,FALSE
Stiegelschwand,SGD,NA,2607278.66,1148536.01,7.53343333,46.4881,1466,Western Alpine North- slope,8,1974,2020,47,0,NA,NA,NA,NA,FALSE
Schaffhausen,SHA,6620,2688703.87,1282803.38,8.62014167,47.6898417,438.38,North-eastern plateau,3,1961,2020,60,0,1982,2021,40,0,TRUE
Segl-Maria,SIA,6779,2778576.02,1144976.1,9.762325,46.4323306,1804,Engadine,11,1961,2020,60,0,2014,2020,6,1,FALSE
Siebnen,SIE,NA,2710821.81,1225537.8,8.90048333,47.1715111,452,North-eastern plateau,3,1962,2020,59,0,2016,2020,4,1,FALSE
Sihlbrugg,SIH,NA,2686318.83,1230585.84,8.57828333,47.2205611,549,North-eastern plateau,3,1962,2020,59,0,2015,2020,5,1,FALSE
Simplon-Dorf,SIM,6654,2647682.58,1116339.61,8.05633611,46.196825,1465,Alpine south side,12,1962,2020,59,0,2017,2020,4,0,FALSE
Sion,SIO,6720,2591632.82,1118583.84,7.33020278,46.21865,482,Valais,10,1961,2020,60,0,1982,2021,40,0,TRUE
Zürich / Fluntern,SMA,6660,2685117.87,1248065.64,8.56574167,47.377925,555.95,North-eastern plateau,3,1961,2020,60,0,1982,2021,40,0,TRUE
"Sta. Maria, Val Müstair",SMM,6796,2828862.35,1165579.69,10.4263139,46.6022556,1386.2,Engadine,11,1961,2020,60,0,2012,2020,9,0,FALSE
Seengen,SNG,NA,2656680.79,1242110.07,8.18846111,47.3274194,445,Central plateau,4,1961,2020,60,0,NA,NA,NA,NA,FALSE
Stans,SNS,NA,2669015.72,1202411.85,8.34555833,46.9691889,439,Central Alpine north slope,7,1977,2020,44,0,NA,NA,NA,NA,FALSE
Soglio,SOG,NA,2761393.92,1134473.59,9.53520833,46.3422444,1086,Alpine south side,12,1961,2020,60,0,2015,2020,5,1,FALSE
Sempach,SPA,NA,2657433.8,1220759.97,8.19569722,47.135325,532,Central plateau,4,1962,2020,59,0,NA,NA,NA,NA,FALSE
St. Peterzell,SPZ,NA,2731250.69,1242139.71,9.174725,47.3170639,700,Eastern Alpine north slope,6,1961,2020,60,0,NA,NA,NA,NA,FALSE
Sierre,SRE,NA,2609137.6,1127458.14,7.55723056,46.2984694,536,Valais,10,1961,2020,60,0,NA,NA,NA,NA,FALSE
Sarnen,SRN,NA,2661580.62,1193689.86,8.24668333,46.8914694,475,Central Alpine north slope,7,1961,2020,60,0,NA,NA,NA,NA,FALSE
Starkenbach,STB,NA,2737313.77,1227575.79,9.25044722,47.1848667,897,Eastern Alpine north slope,6,1961,2020,60,0,2014,2020,6,1,FALSE
Steckborn,STE,NA,2715170.01,1280179.59,8.97190278,47.6621306,399,North-eastern plateau,3,1961,2020,60,0,NA,NA,NA,NA,FALSE
St. Gallen,STG,6681,2747865.85,1254587.7,9.39852778,47.425475,775.66,North-eastern plateau,3,1961,2020,60,0,1982,2021,40,0,TRUE
